Sector,Ticker,Beta
Tech,AAPL,1.18
Tech,MSFT,0.91
Tech,GOOG,1.06
Tech,AMZN,1.12
Tech,TSLA,2.08
Tech,FB,1.39
Tech,NVDA,1.42
Tech,BABA,0.89
Tech,CRM,1.09
Tech,INTC,0.55
Tech,AMD,1.81
Tech,PYPL,1.29
Tech,ATVI,0.55
Tech,EA,0.83
Tech,TTD,2.14
Tech,MTCH,0.77
Tech,ZG,1.43
Tech,YELP,1.75
Tech,TSM,0.91
Tech,TCEHY,0.48
Tech,BABA,0.89
Tech,ASML,1.17
Tech,AVGO,1.03
Tech,CSCO,0.96
Tech,ORCL,0.84
Tech,ADBE,1.05
Tech,AMD,1.81
Tech,TXN,0.95
Tech,NFLX,0.97
Tech,QCOM,1.2
Tech,INTU,1.12
Tech,SAP,1.15
Tech,IBM,1.1
Tech,ABNB,1.45
Tech,NOW,1.04
Tech,ADP,0.84
Tech,AMAT,1.41
Tech,BKNG,1.22
Tech,VMW,0.65
Tech,EQIX,0.46
Tech,UBER,1.31
Tech,WDAY,1.37
Tech,SNAP,1.09
Tech,PANW,1.28
Tech,COIN,1.99
Tech,DDOG,1.07
Tech,HPQ,0.99
Tech,ADSK,1.45
Tech,TWTR,0.8
Tech,DASH,1.93
Tech,ZM,0.94
Health,UNH,0.87
Health,CVS,0.8
Health,ANTM,1.05
Health,HCA,1.6
Health,CNC,0.44
Health,MCK,0.72
Health,ABC,0.46
Health,CERN,0.83
Health,PKI,1.1
Health,MOH,0.79
Health,BIO,0.92
Health,CAH,0.91
Health,HSIC,0.72
Health,DVA,1.18
Health,TDOC,0.43
Health,AGL,0.3
Health,DOCS,1.78
Health,MASI,0.89
Health,CHE,0.53
Health,GDRX,1.67
Health,GH,0.68
Health,SHC,1.35
Health,OSH,0.91
Health,AMED,0.72
Health,QDEL,-0.1
Health,AMN,0.32
Health,SGFY,0.93
Health,LFST,1.83
Health,FIGS,1.34
Health,OMI,0.31
Health,CRVL,0.97
Health,MPLN,1.59
Health,PRVA,1.12
Health,VCRA,1.08
Health,EVH,2.1
Health,MDRX,0.98
Health,DH,1.76
Health,MODV,0.7
Health,ALHC,1.62
Health,AMEH,0.37
Health,OSCR,1.6
Health,TVTY,2.3
Health,CLOV,1.22
Health,CYH,1.67
Health,USPH,1.35
Health,RDNT,1.72
Health,BHG,1.42
Health,NHC,0.3
Health,CANO,1.59
Health,AMWL,0.57
Health,ACCD,1.93
Energy,XOM,1.17
Energy,MGY,2.25
Energy,PSX,1.51
Energy,BKR,1.04
Energy,EOG,1.8
Energy,CVX,1.14
Energy,SHEL,0.7
Energy,NEE,0.36
Energy,PTR,0.62
Energy,COP,1.42
Energy,EQNR,0.99
Energy,BP,0.76
Energy,PBR,1.66
Energy,ENV,1.19
Energy,GLNCY,1.66
Energy,DUK,0.35
Energy,CSUAY,0.29
Energy,SO,0.52
Energy,SNP,0.72
Energy,CNQ,2.22
Energy,D,0.41
Energy,PXD,1.56
Energy,NGG,0.39
Energy,SLB,2.02
Energy,TRP,0.68
Energy,EPD,1.21
Energy,OXY,2.06
Energy,SRE,0.63
Energy,DNNGY,0.51
Energy,AEP,0.35
Energy,ITOCY,0.42
Energy,EXC,0.59
Energy,MPC,1.92
Energy,SU,1.53
Energy,KMI,0.95
Energy,VLO,1.99
Energy,MITSY,0.73
Energy,WMB,1.27
Energy,XEL,0.36
Energy,DVN,2.78
Energy,PSX,1.51
Energy,EC,1.87
Energy,BKR,1.22
Energy,LNG,1.25
Energy,PEG,0.59
Energy,ED,0.22
Energy,ET,2.08
Energy,HAL,2.42
Energy,MPLX,1.68
Energy,HES,1.76
Energy,CVE,2.75
Banking,PYPL,1.29
Banking,V,0.92
Banking,TCEHY,0.48
Banking,JPM,1.1
Banking,MA,1.08
Banking,BAC,1.39
Banking,IDCBY,0.35
Banking,ACN,1.24
Banking,CICHY,0.41
Banking,CIHKY,0.77
Banking,WFC,1.15
Banking,ACGBY,0.64
Banking,RY,0.93
Banking,BACHY,0.39
Banking,TD,0.98
Banking,HSBC,0.5
Banking,AXP,1.1
Banking,CMWAY,0.91
Banking,HDB,0.76
Banking,VWAGY,1.69
Banking,C,1.67
Banking,BNS,0.83
Banking,SHOP,1.63
Banking,MUFG,0.76
Banking,NABXY,0.87
Banking,USB,0.99
Banking,PNC,1.26
Banking,BMO,1.24
Banking,SQ,2.31
Banking,SMLRY,1.3
Banking,TFC,1.15
Banking,UBS,1.1
Banking,IBN,1.12
Banking,DBSDY,1.07
Banking,FISV,0.82
Banking,MCO,1.21
Banking,FISV,0.82
Banking,MELI,1.51
Banking,ADYEY,1.21
Banking,MQBKY,1.63
Banking,ANZBY,1.24
Banking,BMWYY,1.11
Banking,CMWAY,0.91
Banking,COF,1.51
Banking,ITUB,0.53
Banking,BKRKY,1
Banking,SMFG,0.81
Banking,MSCI,1
Banking,LYG,1.52
Banking,OVCHY,0.82
Banking,ING,1.86
Crypto,BTC,1.74
Crypto,ETH,1.83
Crypto,BNB,1.65
Crypto,SOL,2.28
Crypto,XRP,2.01
Crypto,LUNA,1.13
Crypto,ADA,2.31
Crypto,AVAX,2.12
Crypto,DOT,1.76
Crypto,DOGE,2.31
Crypto,SHIB,1.95
Crypto,NEAR,2.31
Crypto,MATIC,1.64
Crypto,CRO,1.87
Crypto,DAI,1.8
Crypto,LTC,0.94
Crypto,ATOM,1.47
Crypto,LINK,1.42
Crypto,UNI,1.57
Crypto,TRX,0.76
Crypto,BCH,0.2
Crypto,FTT,1.31
Crypto,ETC,1.47
Crypto,LEO,1.68
Crypto,ALGO,1.73
Crypto,VET,1.92
Crypto,HBAR,2.05
Crypto,ICP,2.13
Crypto,XMR,1.74
Crypto,EGLD,1.93
Crypto,SAND,2.09
Crypto,MANA,2.03
Crypto,THETA,2.19
Crypto,FTM,1.59
Crypto,AXS,0.91
Crypto,WAVES,1
Crypto,RUNE,1.45
Crypto,KLAY,2.05
Crypto,XTZ,1.83
Crypto,AAVE,1.01
Crypto,HNT,1.59
Crypto,EOS,1.18
Crypto,ZEC,1.92
Crypto,FLOW,1.68
Crypto,MIOTA,1.76
Crypto,MKR,1.45
Crypto,GRT,2.03
Crypto,CVX,1.14
Crypto,STX,1
Crypto,ZIL,2.21
Crypto,CGLD,1.18